City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Carbonia,IT,39.1672,8.5222,77.95,48,0,5.01,clear sky
293,Banyumas,ID,-7.5142,109.2942,72.72,93,49,3.22,scattered clouds
294,Port Lincoln,AU,-34.7333,135.8667,53.31,65,41,24.58,light rain
295,Yoichi,JP,43.2039,140.7703,79.77,76,22,3.0,few clouds
296,Mapiri,BO,-15.25,-68.1667,71.44,73,58,1.36,broken clouds
297,Kozhevnikovo,RU,56.2589,83.9714,55.26,79,100,6.46,overcast clouds
298,Khatanga,RU,71.9667,102.5,53.73,71,33,5.32,scattered clouds
299,Belgrade,RS,44.804,20.4651,71.26,73,0,2.3,clear sky
300,Rio Cuarto,AR,-33.1307,-64.3499,64.17,42,0,4.61,clear sky
301,Tilichiki,RU,60.4667,166.1,56.05,77,97,4.05,overcast clouds
302,Kodinsk,RU,58.6881,99.1844,64.22,70,13,2.21,few clouds
303,Pyay,MM,18.8167,95.2167,75.87,97,67,4.9,broken clouds
304,Presidente Epitacio,BR,-21.7633,-52.1156,71.87,32,0,5.37,clear sky
305,Vargashi,RU,55.3556,65.8467,62.35,94,99,4.94,overcast clouds
306,Hami,CN,42.8,93.45,84.65,45,98,15.17,overcast clouds
307,Funtua,NG,11.5233,7.3081,69.31,94,97,8.79,overcast clouds
308,Aksarka,RU,66.5606,67.7975,45.9,86,38,8.46,scattered clouds
309,Mar Del Plata,AR,-38.0023,-57.5575,55.42,55,0,3.0,clear sky
310,Tugolesskiy Bor,RU,55.5505,39.8242,55.36,90,59,5.08,broken clouds
311,Leningradskiy,RU,69.3833,178.4167,42.71,74,43,10.2,scattered clouds
312,Texarkana,US,33.4251,-94.0477,93.42,52,20,10.36,few clouds
313,Gorontalo,ID,0.5412,123.0595,76.87,82,89,3.27,overcast clouds
314,Xuanhua,CN,40.6103,115.0447,73.13,82,43,4.05,scattered clouds
315,Lokosovo,RU,61.1333,74.8167,60.82,96,81,5.3,light rain
316,Dzerzhinskoye,RU,56.8344,95.2283,60.03,80,0,5.88,clear sky
317,Walvis Bay,NA,-22.9575,14.5053,68.95,10,0,17.27,clear sky
318,Hovd,MN,48.0056,91.6419,67.15,54,18,3.69,few clouds
319,Luz,BR,-19.8014,-45.6856,62.47,45,0,4.83,clear sky
320,Gwadar,PK,25.1216,62.3254,82.06,88,88,6.2,overcast clouds
321,Khani,GE,41.9563,42.9566,60.37,95,87,1.3,overcast clouds
322,Sedro-Woolley,US,48.5039,-122.2361,82.62,47,1,1.99,clear sky
323,Santiago Del Estero,AR,-27.7951,-64.2615,69.8,36,0,4.18,clear sky
324,Tuatapere,NZ,-46.1333,167.6833,48.81,75,55,5.64,broken clouds
325,Norman Wells,CA,65.282,-126.8329,59.04,77,90,10.36,overcast clouds
326,Lata,PT,40.1629,-8.3327,62.06,98,37,2.3,scattered clouds
327,Teruel,ES,40.6667,-0.6667,72.88,26,16,7.74,few clouds
328,Shwebo,MM,22.5667,95.7,77.56,89,87,7.45,overcast clouds
329,Lagoa,PT,39.05,-27.9833,70.09,96,100,13.71,overcast clouds
330,Santa Rosa Del Sur,CO,7.9644,-74.0544,76.73,85,100,1.34,overcast clouds
331,Kargasok,RU,59.0556,80.8572,61.39,70,1,6.29,clear sky
332,La Ronge,CA,55.1001,-105.2842,66.45,59,90,16.11,overcast clouds
